Transaction Rate,Transaction Limit,Average TPS,TPS Standard Deviation,TPS Margin of Error,Average Latency,Latency Standard Deviation,Latency Margin of Error
80,8000,79.94,0.22,0.04 (0.06\%),2003.32,18.59,3.72 (0.19\%)
160,16000,159.72,0.68,0.14 (0.09\%),1998.6,14.48,2.90 (0.14\%)
240,24000,241.99,1.00,0.20 (0.08\%),1994.47,6.46,1.29 (0.06\%)
320,32000,318.79,1.35,0.27 (0.08\%),1994.85,18.66,3.73 (0.19\%)
400,40000,397.62,1.63,0.33 (0.08\%),1993.72,13.89,2.78 (0.14\%)
480,48000,482.34,2.28,0.46 (0.09\%),1993.61,12.82,2.56 (0.13\%)
560,56000,568.29,2.47,0.49 (0.09\%),1995.45,15.81,3.16 (0.16\%)
640,64000,634.38,2.13,0.48 (0.08\%),1996.78,24.19,5.41 (0.27\%)
720,72000,720.87,2.05,0.53 (0.07\%),1986.5,15.38,3.97 (0.20\%)
800,80000,792.02,1.58,0.41 (0.05\%),1985.3,20.77,5.36 (0.27\%)
880,88000,879.07,1.39,0.36 (0.04\%),1978,20.66,5.33 (0.27\%)
960,96000,983.62,14.57,3.76 (0.38\%),2047.24,274.15,70.79 (3.46\%)
1040,104000,1021.84,119.01,30.73 (3.01\%),2305.99,1217.23,314.29 (13.63\%)
1120,112000,978.7,272.85,86.28 (8.82\%),3602.48,2946.66,931.82 (25.87\%)
1200,120000,1062.03,141.66,63.35 (5.97\%),2799.88,589.43,263.60 (9.41\%)
