Transaction Rate,Transaction Limit,Average TPS,TPS Standard Deviation,TPS Margin of Error,Average Latency,Latency Standard Deviation,Latency Margin of Error
80,8000,76.33,7.27,1.45 (1.90\%),3599.18,415.43,83.09 (2.31\%)
160,16000,151.92,15.45,3.09 (2.03\%),4264.33,863.18,172.64 (4.05\%)
240,24000,234.95,4.05,0.81 (0.34\%),4565.02,777.81,155.56 (3.41\%)
320,32000,307.33,23.59,4.72 (1.54\%),4713.72,773.48,154.70 (3.28\%)
400,40000,348.7,80.23,16.05 (4.60\%),5556.09,885.14,177.03 (3.19\%)
480,48000,472.54,9.40,2.10 (0.44\%),5540.63,544.86,121.83 (2.20\%)
560,56000,538.44,36.62,9.46 (1.76\%),5694.42,619.97,160.08 (2.81\%)
640,64000,583.01,50.88,13.14 (2.25\%),6862.48,1895.49,489.41 (7.13\%)
720,72000,664.05,51.70,16.35 (2.46\%),6199.33,655.17,207.18 (3.34\%)
800,80000,728.83,32.24,10.20 (1.40\%),7480.84,1398.14,442.13 (5.91\%)
880,88000,723.93,67.82,21.45 (2.96\%),9182.08,3243.78,1025.77 (11.17\%)
960,96000,710.46,60.45,19.12 (2.69\%),16026.8,7375.54,2332.35 (14.55\%)
1040,104000,736.23,41.31,18.47 (2.51\%),18010.6,5900.32,2638.70 (14.65\%)
