Transaction Rate,Transaction Limit,Average TPS,TPS Standard Deviation,TPS Margin of Error,Average Latency,Latency Standard Deviation,Latency Margin of Error
80,8000,79.92,0.40,0.08 (0.10\%),1009.66,13.80,2.76 (0.27\%)
160,16000,159.8,0.03,0.01 (0.00\%),1008.63,8.50,1.70 (0.17\%)
240,24000,242,0.03,0.01 (0.00\%),1006.74,4.30,0.86 (0.09\%)
320,32000,319.13,0.05,0.01 (0.00\%),1017.93,40.50,8.10 (0.80\%)
400,40000,393.68,20.25,4.05 (1.03\%),2251.93,6067.40,1213.48 (53.89\%)
480,48000,460.32,54.85,10.97 (2.38\%),5295.86,11734.77,2346.95 (44.32\%)
560,56000,543,67.61,13.52 (2.49\%),5103.21,12248.60,2449.72 (48.00\%)
640,64000,615.26,67.69,13.54 (2.20\%),2762.6,6080.69,1216.14 (44.02\%)
720,72000,646.94,162.48,32.50 (5.02\%),9536.07,18784.60,3756.92 (39.40\%)
800,80000,744.57,135.41,27.08 (3.64\%),4374.86,10523.03,2104.61 (48.11\%)
880,88000,770.47,177.13,35.43 (4.60\%),6680.83,10370.37,2074.07 (31.05\%)
960,96000,833.7,232.09,46.42 (5.57\%),14105.11,21840.55,4368.11 (30.97\%)
1040,104000,942.2,188.21,37.64 (4.00\%),9383.52,16086.87,3217.37 (34.29\%)
1120,112000,983.77,239.75,47.95 (4.87\%),9988.05,17682.78,3536.56 (35.41\%)
1200,120000,1001.35,315.78,63.16 (6.31\%),10211.71,16805.85,3361.17 (32.91\%)
1280,128000,1307.95,2.01,0.52 (0.04\%),1013.89,21.09,5.45 (0.54\%)
1360,136000,1201.51,387.68,86.69 (7.21\%),9212.97,15638.57,3496.89 (37.96\%)
1440,144000,1202.98,377.19,84.34 (7.01\%),8973.68,12681.62,2835.70 (31.60\%)
1520,152000,1289.64,526.10,117.64 (9.12\%),8953.59,15947.88,3566.05 (39.83\%)
1600,160000,1561.21,8.60,2.30 (0.15\%),1028.28,46.57,12.45 (1.21\%)
1680,168000,1714.21,32.06,8.89 (0.52\%),1763.21,1016.27,281.86 (15.99\%)
1760,176000,1732.35,0.72,0.25 (0.01\%),1026.01,42.59,15.06 (1.47\%)
1840,184000,1751.91,386.66,172.92 (9.87\%),1043.45,63.20,28.26 (2.71\%)
1920,192000,1746.46,235.38,74.43 (4.26\%),2127.77,1095.54,346.44 (16.28\%)
2000,200000,1747.3,236.28,74.72 (4.28\%),2154.28,1133.32,358.39 (16.64\%)
