Transaction Rate,Transaction Limit,Average TPS,TPS Standard Deviation,TPS Margin of Error,Average Latency,Latency Standard Deviation,Latency Margin of Error
0,16800,3472.37,792.64,177.24 (5.10\%),1.33,0.84,0.19 (14.15\%)
0,33600,3987.73,1025.65,229.34 (5.75\%),1.23,0.80,0.18 (14.59\%)
0,50400,4567.41,1454.60,325.26 (7.12\%),1.05,0.64,0.14 (13.58\%)
0,67200,4963.01,1621.25,362.52 (7.30\%),0.97,0.56,0.13 (12.90\%)
0,84000,5199.65,1860.40,416.00 (8.00\%),0.93,0.52,0.12 (12.48\%)
0,100800,5553.04,2049.43,458.27 (8.25\%),0.88,0.48,0.11 (12.15\%)
0,117600,5762.7,2028.17,453.51 (7.87\%),0.84,0.46,0.10 (12.27\%)
0,134400,5927.45,2409.02,538.67 (9.09\%),0.81,0.41,0.09 (11.29\%)
0,151200,5950.25,2582.03,577.36 (9.70\%),0.81,0.38,0.08 (10.52\%)
0,168000,6335,2565.98,573.77 (9.06\%),0.77,0.37,0.08 (10.78\%)
0,184800,6213.69,2529.20,565.55 (9.10\%),0.77,0.37,0.08 (10.73\%)
0,201600,6420.34,3005.08,671.96 (10.47\%),0.75,0.33,0.07 (9.83\%)
0,218400,6671.21,3021.65,675.66 (10.13\%),0.73,0.33,0.07 (10.07\%)
0,235200,6613.15,3072.25,686.98 (10.39\%),0.73,0.32,0.07 (9.78\%)
0,252000,6671.26,3274.41,732.18 (10.98\%),0.73,0.31,0.07 (9.48\%)
0,268800,6583.04,3325.00,743.49 (11.29\%),0.77,0.35,0.08 (10.20\%)
0,285600,6799.34,3365.70,752.59 (11.07\%),0.71,0.29,0.06 (9.13\%)
0,302400,6996.28,3512.86,785.50 (11.23\%),0.71,0.30,0.07 (9.45\%)
0,319200,7063.4,3347.96,748.63 (10.60\%),0.69,0.29,0.06 (9.37\%)
0,336000,7033.27,3379.75,755.74 (10.75\%),0.69,0.29,0.06 (9.45\%)
